_id,active,createdDate,lastLogin,role,signUpSource,state
5ff1e194b6a9d73a3a9f1052,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e1e8cfcf6c399c274ad9,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e1b7cfcf6c399c274a5a,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e1f1cfcf6c399c274b0b,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e1e4cfcf6c399c274ac3,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e1b4cfcf6c399c274a54,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,True,01-03-2021,01-03-2021,consumer,Email,WI
5ff370c562fde912123a5e0e,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff36d0362fde912123a5535,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff36d83135e7011bcb864d6,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff36c8862fde912123a538a,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff370c562fde912123a5e0e,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff36be7135e7011bcb856d3,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff36d0362fde912123a5535,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff36be7135e7011bcb856d3,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff36a3862fde912123a4460,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff36d0362fde912123a5535,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff36c8e135e7011bcb85da4,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff36a3862fde912123a4460,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff370c562fde912123a5e0e,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff36a3862fde912123a4460,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff36a3862fde912123a4460,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff370c562fde912123a5e0e,True,01-04-2021,01-04-2021,consumer,Email,WI
