_id,barcode,category,categoryCode,cpg,name,topBrand,brandCode,cpg_id,cpg_ref
5f99f71bbe37ce13da9eade8,511111617136,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f99f71bbe37ce13da9eade6'}}",test brand @1603925787381,,TEST BRANDCODE @1603925787381,5f99f71bbe37ce13da9eade6,Cogs
57ebc02be4b0ac389136a339,511111002086,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Kool-Aid,0.0,KOOL-AID,559c2234e4b06aca36af13c6,Cogs
5332f5f5e4b03c9a25efd0b1,511111203995,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",Minute Maid,,,5332f5ebe4b03c9a25efd0a8,Cpgs
5f7ba645be37ce23081c528b,511111416890,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f7ba644be37ce23081c5289'}}",test brand @1601939013241,,TEST BRANDCODE @1601939013241,5f7ba644be37ce23081c5289,Cogs
58861c7d4e8d0d20bc42c4d7,511111401438,Grocery,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Velveeta Shells,0.0,,559c2234e4b06aca36af13c6,Cogs
5332f7b5e4b03c9a25efd141,511111803447,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f7a7e4b03c9a25efd134'}}",Margaritaville,,,5332f7a7e4b03c9a25efd134,Cpgs
5f403232be37ce5f78d9ed1b,511111615705,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f403232be37ce5f78d9ed1a'}}",test brand @1598042674677,,,5f403232be37ce5f78d9ed1a,Cogs
5fb81ab9be37ce522e165cdc,511111317715,Beer Wine Spirits,BEER_WINE_SPIRITS,"{'$id': {'$oid': '5fb6d381be37ce522e165cbd'}, '$ref': 'Cogs'}",AbsolutÂ® Citron,0.0,ABSOLUTÂ® CITRON,5fb6d381be37ce522e165cbd,Cogs
5fb7fa35be37ce522e165cc9,511111717522,Beer Wine Spirits,BEER_WINE_SPIRITS,"{'$id': {'$oid': '5fb6d381be37ce522e165cbd'}, '$ref': 'Cogs'}",AvionÂ® R44,0.0,AVION R44,5fb6d381be37ce522e165cbd,Cogs
5332fa79e4b03c9a25efd227,511111102984,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",Caffeine-free Coca-Cola,,,5332f5ebe4b03c9a25efd0a8,Cpgs
5fd2a0bfbe37ce49eb72c0f2,511111418146,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fd2a0bfbe37ce49eb72c0ef'}}",test brand @1607639231710,0.0,TEST BRANDCODE @1607639231710,5fd2a0bfbe37ce49eb72c0ef,Cogs
53501d2ab9237fd7718f9e1b,511111902812,,,"{'$ref': 'Cpgs', '$id': {'$oid': '53501d2ab9237fd7718f9e1a'}}",Screamin Sicilian,,,53501d2ab9237fd7718f9e1a,Cpgs
5a5d239de4b0db471c2d042a,511111900269,Beer Wine Spirits,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",Miller Fortune,,MILLER FORTUNE,5332f709e4b03c9a25efd0f1,Cogs
592486bee410d61fcea3d131,511111900771,Personal Care,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",LEVER 2000,0.0,LEVER 2000,5332f5f6e4b03c9a25efd0b4,Cogs
5da603a71dda2c3e1416ae82,511111105558,Baby,BABY,"{'$ref': 'Cogs', '$id': {'$oid': '5d9b4f591dda2c6225a284aa'}}",A+DÂ®,0.0,A+D,5d9b4f591dda2c6225a284aa,Cogs
5db3288aee7f2d6de4248977,511111312949,Baby,,"{'$ref': 'Cogs', '$id': {'$oid': '550b2565e4b001d5e9e4146f'}}",Pull-Ups,1.0,PULLUPS,550b2565e4b001d5e9e4146f,Cogs
5f5bc4f1be37ce17125ac0e7,511111216582,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f5bc4f1be37ce17125ac0e6'}}",test brand @1599849713170,,,5f5bc4f1be37ce17125ac0e6,Cogs
5fc54c0abe37ce1911dbb3b2,511111817864,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fc54c0abe37ce1911dbb3b1'}}",test brand @1606765578434,0.0,TEST BRANDCODE @1606765578435,5fc54c0abe37ce1911dbb3b1,Cogs
5332f5fbe4b03c9a25efd0bb,511111003960,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",Mountain Dew,0.0,MOUNTAIN DEW,5332f5fbe4b03c9a25efd0ba,Cogs
57ebc12ce4b0ac389136a33c,511111102052,Condiments & Sauces,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Kraft Mayo,0.0,,559c2234e4b06aca36af13c6,Cogs
585a9720e4b03e62d1ce0e94,511111101505,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",Sun Chips,,SUN CHIPS,5332f5fbe4b03c9a25efd0ba,Cogs
5f4bf557be37ce0b4491554e,511111716365,Candy & Sweets,CANDY_AND_SWEETS,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",test brand @1598813527796,,TEST BRANDCODE @1598813527796,5332fa12e4b03c9a25efd1e7,Cogs
592486bfe410d61fcea3d138,511111800712,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",PURE LEAF Tea Leaves,0.0,PURE LEAF Tea Leaves,5332f5f6e4b03c9a25efd0b4,Cogs
5887a320e4b02187f85cdad8,511111201120,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Corn Nuts,0.0,CORN NUTS,559c2234e4b06aca36af13c6,Cogs
57d95753e4b0ac389136a2b3,511111702382,Dairy,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Breakstone's,0.0,BREAKSTONE'S,559c2234e4b06aca36af13c6,Cogs
5a5d263ee4b06ba572cf24a4,511111200192,Beer Wine Spirits,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",Sparks,0.0,SPARKS,5332f709e4b03c9a25efd0f1,Cogs
5f4a7a5dbe37ce2d95e65ca2,511111316275,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f4a7a5bbe37ce2d95e65c9f'}}",test brand @1598716509357,,TEST BRANDCODE @1598716509358,5f4a7a5bbe37ce2d95e65c9f,Cogs
5887a143e4b02187f85cdad2,511111301189,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Maxwell House,0.0,MAXWELL HOUSE,559c2234e4b06aca36af13c6,Cogs
5332f7b5e4b03c9a25efd142,511111603436,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f7a7e4b03c9a25efd134'}}",Beck's,,,5332f7a7e4b03c9a25efd134,Cpgs
5f5bc4f2be37ce17125ac0ed,511111516637,Candy & Sweets,CANDY_AND_SWEETS,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",test brand @1599849714378,,TEST BRANDCODE @1599849714378,5332fa12e4b03c9a25efd1e7,Cogs
5f4a64e7be37ce17d23b317a,511111716204,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f4a64e7be37ce17d23b3178'}}",test brand @1598711015496,,TEST BRANDCODE @1598711015496,5f4a64e7be37ce17d23b3178,Cogs
5a5d2b20e4b0db471c2d0434,511111800088,Canned Goods & Soups,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",Continental,,CONTINENTAL SOUP,5332f5f6e4b03c9a25efd0b4,Cogs
5e3875f5ee7f2d697e835bcf,511111213925,Beauty,,"{'$ref': 'Cogs', '$id': {'$oid': '5e28b81cee7f2d697e835bcd'}}",Garnier - Hair Color,,GARNIER - HAIR COLOR,5e28b81cee7f2d697e835bcd,Cogs
